secernosaurus,herbivorous,koerneri
lambeosaurus,herbivorous,lambei
avaceratops,herbivorous,lammersi
muttaburrasaurus,herbivorous,langdoni
goyocephale,herbivorous,lattimorei
torosaurus,herbivorous,latus
scutellosaurus,herbivorous,lawleri
noasaurus,carnivorous,leali
ligabuesaurus,herbivorous,leanzai
eotyrannus,carnivorous,lengi
barosaurus,herbivorous,lentus
albertosaurus,carnivorous,libratus
gorgosaurus,carnivorous,libratus
shunosaurus,herbivorous,lii
liliensternus,carnivorous,liliensterni
archaeopteryx,carnivorous,lithographica
atlascopcosaurus,herbivorous,loadsi
edmontonia,herbivorous,longiceps
tsagantegia,herbivorous,longicranialis
compsognathus,carnivorous,longipes
diplodocus,herbivorous,longus
saltasaurus,herbivorous,loricatus
agilisaurus,herbivorous,louderbacki
eoraptor,carnivorous,lunensis
lapparentosaurus,herbivorous,madagascariensis
ankylosaurus,herbivorous,magniventris
ammosaurus,herbivorous,major
orodromeus,herbivorous,makelai
prosaurolophus,herbivorous,maximus
saurophaganax,carnivorous,maximus
khaan,omnivorous,mckennai
austrosaurus,herbivorous,mckillopi
nothronychus,omnivorous,mckinleyi
brachytrachelopan,herbivorous,mesai
sinornithosaurus,carnivorous,millenii
deinocheirus,omnivorous,mirificus
panoplosaurus,herbivorous,mirus
hesperosaurus,herbivorous,mjosi
rinchenia,omnivorous,mongoliensis
gilmoreosaurus,herbivorous,mongoliensis
graciliceratops,herbivorous,mongoliensis
nemegtosaurus,herbivorous,mongoliensis
psittacosaurus,herbivorous,mongoliensis
saurornithoides,carnivorous,mongoliensis
velociraptor,carnivorous,mongoliensis
tuojiangosaurus,herbivorous,multispinus
ceratosaurus,carnivorous,nasicornis
kritosaurus,herbivorous,navajovius
thescelosaurus,herbivorous,neglectus
albertaceratops,herbivorous,nesmoi
ouranosaurus,herbivorous,nigeriensis
equijubus,herbivorous,normani
gryposaurus,herbivorous,notabilis
harpymimus,omnivorous,okladnikovi
mononykus,unknown,olecranus
alectrosaurus,carnivorous,olseni
quaesitosaurus,herbivorous,orientalis
anchiceratops,herbivorous,ornatus
saurolophus,herbivorous,osborni
archaeoceratops,herbivorous,oshimai
citipati,omnivorous,osmolskae
utahraptor,carnivorous,ostrommaysorum
cetiosaurus,herbivorous,oxoniensis
eustreptospondylus,carnivorous,oxoniensis
minmi,herbivorous,paravertebra
metriacanthosaurus,carnivorous,parkeri
gargoyleosaurus,herbivorous,parkpinorum
amygdalodon,herbivorous,patagonicus
mussaurus,herbivorous,patagonicus
maiasaura,herbivorous,peeblesorum
chirostenotes,omnivorous,pergracilis
oviraptor,omnivorous,philoceratops
anserimimus,carnivorous,planinychus
talarurus,herbivorous,plicatospineus
pelicanimimus,carnivorous,polyodon
anchisaurus,herbivorous,polyzelous
avimimus,omnivorous,portentosus
prenocephale,herbivorous,prenes
staurikosaurus,carnivorous,pricei
sinosauropteryx,carnivorous,prima
rugops,carnivorous,primus
haplocanthosaurus,herbivorous,priscus
rhabdodon,herbivorous,priscus
